ForecastID,ConfirmedCases
1,10287
2,10472
3,10652
4,10827
5,10997
6,11162
7,11321
8,11474
9,11623
10,11765
11,11902
12,12034
13,12161
14,12282
15,12398
16,12510
17,12616
18,12717
19,12814
20,12906
21,12994
22,13078
23,13158
24,13233
25,13305
26,13373
27,13438
28,13499
29,288
30,288
31,288
32,288
33,288
34,288
35,288
36,288
37,288
38,288
39,288
40,288
41,288
42,288
43,288
44,288
45,288
46,288
47,288
48,288
49,288
50,288
51,288
52,288
53,288
54,288
55,288
56,288
57,225
58,227
59,229
60,231
61,232
62,233
63,234
64,235
65,236
66,237
67,237
68,238
69,238
70,238
71,239
72,239
73,239
74,239
75,239
76,240
77,240
78,240
79,240
80,240
81,240
82,240
83,240
84,240
85,1300
86,1312
87,1324
88,1336
89,1347
90,1358
91,1370
92,1380
93,1391
94,1401
95,1411
96,1421
97,1431
98,1440
99,1449
100,1458
101,1467
102,1475
103,1484
104,1492
105,1499
106,1507
107,1514
108,1521
109,1528
110,1535
111,1542
112,1548
113,94
114,95
115,96
116,98
117,99
118,100
119,101
120,102
121,104
122,105
123,106
124,108
125,109
126,110
127,112
128,113
129,114
130,116
131,117
132,119
133,120
134,122
135,123
136,125
137,126
138,128
139,129
140,131
141,156
142,159
143,163
144,166
145,170
146,173
147,177
148,181
149,185
150,189
151,193
152,197
153,201
154,206
155,210
156,215
157,220
158,224
159,229
160,234
161,239
162,245
163,250
164,256
165,261
166,267
167,273
168,279
169,536
170,540
171,545
172,550
173,555
174,560
175,565
176,570
177,575
178,581
179,586
180,591
181,596
182,602
183,607
184,613
185,618
186,624
187,629
188,635
189,641
190,647
191,652
192,658
193,664
194,670
195,676
196,682
197,1907
198,1963
199,2021
200,2080
201,2141
202,2204
203,2269
204,2336
205,2405
206,2475
207,2548
208,2623
209,2700
210,2780
211,2861
212,2945
213,3032
214,3121
215,3213
216,3307
217,3405
218,3505
219,3608
220,3714
221,3823
222,3935
223,4051
224,4170
225,712
226,721
227,731
228,740
229,750
230,760
231,770
232,780
233,790
234,800
235,810
236,821
237,832
238,842
239,853
240,865
241,876
242,887
243,899
244,910
245,922
246,934
247,946
248,959
249,971
250,984
251,997
252,1010
253,1332
254,1350
255,1368
256,1387
257,1405
258,1424
259,1443
260,1462
261,1482
262,1502
263,1522
264,1543
265,1563
266,1584
267,1605
268,1627
269,1649
270,1671
271,1693
272,1716
273,1739
274,1762
275,1786
276,1810
277,1834
278,1859
279,1884
280,1909
281,7370
282,7370
283,7370
284,7370
285,7370
286,7370
287,7370
288,7370
289,7370
290,7370
291,7370
292,7370
293,7370
294,7370
295,7370
296,7370
297,7370
298,7370
299,7370
300,7370
301,7370
302,7370
303,7370
304,7370
305,7370
306,7370
307,7370
308,7370
309,7568
310,7658
311,7750
312,7843
313,7937
314,8032
315,8128
316,8225
317,8323
318,8423
319,8524
320,8626
321,8729
322,8833
323,8939
324,9045
325,9153
326,9263
327,9373
328,9485
329,9598
330,9713
331,9829
332,9946
333,10065
334,10185
335,10306
336,10429
337,36886
338,36886
339,36886
340,36886
341,36886
342,36886
343,36886
344,36886
345,36886
346,36886
347,36886
348,36886
349,36886
350,36886
351,36886
352,36886
353,36886
354,36886
355,36886
356,36886
357,36886
358,36886
359,36886
360,36886
361,36886
362,36886
363,36886
364,36886
365,13797
366,13984
367,14172
368,14364
369,14557
370,14754
371,14953
372,15154
373,15358
374,15565
375,15775
376,15987
377,16202
378,16420
379,16640
380,16864
381,17090
382,17319
383,17552
384,17787
385,18025
386,18267
387,18511
388,18759
389,19010
390,19264
391,19521
392,19781
393,370
394,375
395,379
396,383
397,387
398,390
399,394
400,398
401,401
402,404
403,407
404,410
405,413
406,416
407,419
408,421
409,424
410,426
411,429
412,431
413,433
414,435
415,437
416,438
417,440
418,442
419,443
420,445
421,444
422,444
423,444
424,444
425,444
426,444
427,444
428,444
429,444
430,444
431,444
432,444
433,444
434,444
435,444
436,444
437,444
438,444
439,444
440,444
441,444
442,444
443,444
444,444
445,444
446,444
447,444
448,444
449,842
450,842
451,842
452,842
453,842
454,842
455,842
456,842
457,842
458,842
459,842
460,842
461,842
462,842
463,842
464,842
465,842
466,842
467,842
468,842
469,842
470,842
471,842
472,842
473,842
474,842
475,842
476,842
477,330
478,333
479,335
480,337
481,339
482,342
483,344
484,346
485,348
486,350
487,353
488,355
489,357
490,359
491,361
492,363
493,366
494,368
495,370
496,372
497,374
498,376
499,378
500,380
501,382
502,384
503,386
504,388
505,409
506,416
507,424
508,431
509,439
510,446
511,454
512,462
513,470
514,478
515,486
516,494
517,503
518,511
519,520
520,528
521,537
522,546
523,556
524,565
525,574
526,584
527,593
528,603
529,613
530,623
531,633
532,644
533,832
534,849
535,865
536,882
537,898
538,915
539,931
540,947
541,963
542,979
543,994
544,1010
545,1025
546,1040
547,1054
548,1069
549,1083
550,1097
551,1111
552,1124
553,1137
554,1150
555,1163
556,1175
557,1187
558,1199
559,1211
560,1222
561,1225
562,1247
563,1269
564,1292
565,1315
566,1339
567,1363
568,1388
569,1413
570,1438
571,1464
572,1490
573,1517
574,1544
575,1572
576,1601
577,1629
578,1659
579,1689
580,1719
581,1750
582,1782
583,1814
584,1846
585,1880
586,1913
587,1948
588,1983
589,2086
590,2163
591,2242
592,2325
593,2410
594,2499
595,2591
596,2686
597,2785
598,2887
599,2994
600,3104
601,3218
602,3336
603,3459
604,3586
605,3718
606,3854
607,3996
608,4143
609,4295
610,4453
611,4616
612,4785
613,4961
614,5143
615,5331
616,5527
617,8458
618,8458
619,8458
620,8458
621,8458
622,8458
623,8458
624,8458
625,8458
626,8458
627,8458
628,8458
629,8458
630,8458
631,8458
632,8458
633,8458
634,8458
635,8458
636,8458
637,8458
638,8458
639,8458
640,8458
641,8458
642,8458
643,8458
644,8458
645,947
646,963
647,980
648,997
649,1014
650,1031
651,1048
652,1066
653,1085
654,1103
655,1122
656,1141
657,1161
658,1180
659,1201
660,1221
661,1242
662,1263
663,1285
664,1307
665,1329
666,1352
667,1375
668,1398
669,1422
670,1447
671,1471
672,1497
673,834
674,841
675,847
676,853
677,859
678,865
679,871
680,876
681,882
682,887
683,892
684,897
685,902
686,907
687,912
688,917
689,922
690,926
691,930
692,935
693,939
694,943
695,947
696,951
697,955
698,958
699,962
700,965
701,2863
702,2891
703,2919
704,2947
705,2976
706,3005
707,3034
708,3063
709,3093
710,3123
711,3153
712,3184
713,3215
714,3246
715,3277
716,3309
717,3341
718,3373
719,3406
720,3439
721,3472
722,3506
723,3540
724,3574
725,3609
726,3644
727,3679
728,3715
729,22758
730,23149
731,23546
732,23950
733,24360
734,24777
735,25201
736,25631
737,26068
738,26513
739,26965
740,27423
741,27890
742,28363
743,28845
744,29333
745,29830
746,30335
747,30847
748,31368
749,31896
750,32434
751,32979
752,33533
753,34096
754,34667
755,35247
756,35836
757,6533
758,6673
759,6816
760,6963
761,7112
762,7265
763,7421
764,7580
765,7742
766,7908
767,8078
768,8251
769,8427
770,8608
771,8792
772,8980
773,9172
774,9368
775,9568
776,9773
777,9982
778,10195
779,10412
780,10634
781,10861
782,11092
783,11328
784,11570
785,1305
786,1331
787,1358
788,1385
789,1413
790,1441
791,1470
792,1500
793,1530
794,1560
795,1592
796,1623
797,1656
798,1689
799,1723
800,1758
801,1793
802,1829
803,1865
804,1903
805,1941
806,1980
807,2020
808,2060
809,2101
810,2144
811,2187
812,2230
813,515
814,526
815,536
816,547
817,558
818,569
819,580
820,592
821,604
822,616
823,628
824,641
825,654
826,667
827,681
828,694
829,708
830,722
831,737
832,752
833,767
834,782
835,798
836,814
837,831
838,847
839,864
840,882
841,61
842,61
843,62
844,62
845,62
846,62
847,62
848,62
849,62
850,62
851,63
852,63
853,63
854,63
855,63
856,63
857,63
858,63
859,63
860,63
861,63
862,63
863,63
864,63
865,63
866,63
867,63
868,63
869,145
870,145
871,145
872,145
873,145
874,145
875,145
876,145
877,145
878,145
879,145
880,145
881,145
882,145
883,145
884,145
885,145
886,145
887,145
888,145
889,145
890,145
